latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count,land_cover_class,land_cover_name,label
23.16657,82.33804,336.15,0.52,0.67,2025-02-10,652,N,VIIRS,n,2,303.95,5.14,D,2,394,30.0,Grassland,1
21.19446,81.39915,309.6,0.5,0.66,2025-02-15,1926,N,VIIRS,n,2,291.96,2.28,N,2,6,50.0,Built-up,1
16.51945,78.73743,345.98,0.35,0.57,2025-03-19,836,N,VIIRS,n,2,315.84,6.72,D,0,1,40.0,Cropland,0
23.56,87.23919,349.39,0.37,0.58,2025-03-05,800,N,VIIRS,n,2,304.16,5.54,D,2,247,,Unknown,1
23.78129,86.21094,339.04,0.51,0.41,2025-02-02,742,N,VIIRS,n,2,306.86,5.78,D,2,324,,Unknown,1
23.77885,86.38929,345.05,0.46,0.39,2025-02-09,710,N,VIIRS,n,2,314.65,8.23,D,2,400,,Unknown,1
22.94445,81.79416,300.59,0.48,0.48,2025-03-31,2040,N,VIIRS,n,2,289.83,1.47,N,0,2,10.0,Tree cover,0
15.68495,78.67706,337.31,0.39,0.36,2025-03-21,758,N,VIIRS,l,2,309.32,2.51,D,0,2,10.0,Tree cover,0
17.51204,78.43179,303.32,0.62,0.71,2025-01-19,2114,N,VIIRS,n,2,287.31,1.79,N,0,19,50.0,Built-up,1
18.62401,73.56347,299.18,0.46,0.64,2025-02-24,1959,N,VIIRS,n,2,285.79,0.59,N,0,1,30.0,Grassland,0
22.35663,82.30548,346.57,0.43,0.62,2025-03-25,825,N,VIIRS,n,2,314.29,7.07,D,2,56,80.0,Permanent water,1
17.35315,75.97478,330.63,0.54,0.51,2025-01-17,740,N,VIIRS,n,2,298.3,3.33,D,0,1,40.0,Cropland,0
20.79617,85.25365,344.26,0.39,0.36,2025-03-12,728,N,VIIRS,n,2,316.58,6.13,D,2,87,,Unknown,1
15.27385,77.85516,349.65,0.45,0.39,2025-02-12,752,N,VIIRS,n,2,314.11,5.45,D,0,2,20.0,Shrubland,0
31.61962,74.43066,295.23,0.36,0.57,2025-03-06,2007,N,VIIRS,n,2,282.1,0.31,N,2,15,50.0,Built-up,1
23.12587,83.55829,341.96,0.45,0.47,2025-03-13,710,N,VIIRS,l,2,311.98,8.77,D,0,1,10.0,Tree cover,0
22.23642,82.03982,335.54,0.56,0.43,2025-01-02,722,N,VIIRS,n,2,304.57,7.6,D,0,1,40.0,Cropland,0
