latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count
20.97092,86.00138,322.13,0.39,0.36,2025-03-28,1957,N,VIIRS,n,2,299.38,3.27,N,2,101
26.64179,79.47561,303.92,0.59,0.7,2025-01-19,1931,N,VIIRS,n,2,285.19,0.83,N,2,131
22.57281,85.89561,320.62,0.39,0.37,2025-01-02,1951,N,VIIRS,n,2,290.52,2.27,N,0,118
23.78269,86.34559,301.03,0.51,0.5,2025-01-30,1925,N,VIIRS,n,2,289.98,1.63,N,2,199
16.0788,74.44828,352.4,0.4,0.37,2025-02-11,811,N,VIIRS,n,2,315.32,6.24,D,0,2
13.63261,78.75854,344.02,0.51,0.49,2025-03-14,829,N,VIIRS,l,2,315.37,8.96,D,0,2
24.16714,80.69748,299.1,0.76,0.77,2025-02-09,2118,N,VIIRS,n,2,284.8,0.93,N,2,28
26.77928,94.82056,331.8,0.39,0.36,2025-02-21,646,N,VIIRS,n,2,295.79,2.25,D,0,1
14.14296,75.42547,339.57,0.43,0.38,2025-03-10,804,N,VIIRS,l,2,310.68,2.78,D,0,1
21.80581,77.08236,298.28,0.39,0.36,2025-03-05,2029,N,VIIRS,n,2,285.97,0.58,N,0,2
25.75584,84.38945,333.05,0.65,0.73,2025-02-21,826,N,VIIRS,n,2,297.49,6.25,D,0,2
22.32717,82.59149,303.94,0.58,0.52,2025-01-26,2041,N,VIIRS,n,2,288.97,1.81,N,2,14
21.77006,84.02248,303.05,0.41,0.37,2025-01-17,2010,N,VIIRS,n,2,286.77,0.73,N,2,248
14.14939,77.43002,367.0,0.56,0.69,2025-03-02,855,N,VIIRS,h,2,308.28,17.71,D,0,2
23.54786,87.24706,311.0,0.39,0.37,2025-03-12,1956,N,VIIRS,n,2,294.06,0.88,N,2,55
22.5358,92.64143,367.0,0.5,0.49,2025-03-15,632,N,VIIRS,h,2,306.89,20.04,D,0,2
17.42264,77.30884,346.46,0.57,0.69,2025-03-02,715,N,VIIRS,n,2,310.58,4.36,D,0,1
13.87344,78.41944,339.2,0.44,0.46,2025-03-06,739,N,VIIRS,l,2,312.01,5.19,D,0,1
23.77871,86.36466,301.09,0.47,0.48,2025-02-12,2022,N,VIIRS,n,2,291.0,1.66,N,2,72
23.82841,84.93156,339.5,0.45,0.39,2025-01-29,717,N,VIIRS,n,2,309.36,4.92,D,0,162
12.85524,79.90622,297.41,0.45,0.39,2025-01-27,2025,N,VIIRS,n,2,279.83,0.24,N,2,13
21.18792,81.39086,330.17,0.42,0.38,2025-01-28,2004,N,VIIRS,n,2,294.72,3.35,N,2,109
24.83205,73.96232,338.86,0.45,0.39,2025-03-21,801,N,VIIRS,n,2,310.28,2.08,D,0,1
18.32008,80.95556,335.55,0.39,0.36,2025-03-27,746,N,VIIRS,l,2,310.29,5.71,D,0,1
26.56541,93.43601,346.67,0.58,0.52,2025-03-21,620,N,VIIRS,n,2,290.6,42.3,D,0,1
22.75693,86.07654,332.9,0.39,0.36,2025-02-19,722,N,VIIRS,n,2,299.5,1.32,D,0,1
21.30948,81.59229,310.93,0.41,0.45,2025-02-22,2035,N,VIIRS,n,2,292.64,0.92,N,2,68
14.1879,77.84281,302.71,0.44,0.62,2025-02-25,1941,N,VIIRS,n,2,292.1,1.11,N,0,1
